job_id,job_title,salary_usd,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,benefits_score,company_name
AI00066,Machine Learning Engineer,59614,EN,CT,Singapore,S,Singapore,100,"Java, Kubernetes, GCP, Linux, Data Visualization",Associate,1,Healthcare,7.3,Quantum Computing Inc
AI00067,Robotics Engineer,151907,EX,FT,Germany,S,Ghana,50,"Python, R, MLOps",Associate,16,Media,6.1,Quantum Computing Inc
AI00068,Data Scientist,76317,EX,CT,India,M,India,0,"TensorFlow, Deep Learning, Spark",Bachelor,14,Energy,9.1,DataVision Ltd
AI00069,AI Research Scientist,160534,SE,FL,Denmark,M,Denmark,100,"GCP, SQL, MLOps",Master,9,Gaming,8.3,Advanced Robotics
AI00070,AI Consultant,40687,MI,FT,India,L,India,50,"SQL, R, GCP, PyTorch, AWS",Master,3,Transportation,7.3,Algorithmic Solutions
AI00071,Computer Vision Engineer,129265,SE,FL,Australia,S,Australia,0,"Java, Scala, TensorFlow",Master,5,Consulting,6.9,DataVision Ltd
AI00072,NLP Engineer,94396,EX,PT,China,M,China,100,"Scala, Python, Tableau, Mathematics",Master,18,Government,9.5,Advanced Robotics
AI00073,NLP Engineer,158237,EX,CT,South Korea,L,South Korea,0,"Python, NLP, GCP",Master,11,Finance,6.0,Quantum Computing Inc
AI00074,Robotics Engineer,239068,EX,PT,Denmark,L,Denmark,50,"TensorFlow, Java, NLP, Hadoop, GCP",PhD,18,Media,6.8,Autonomous Tech
AI00075,Robotics Engineer,81401,MI,FL,Finland,M,Belgium,0,"Java, Spark, Data Visualization, AWS, Git",Associate,2,Retail,6.3,Future Systems
AI00076,AI Specialist,144229,MI,FT,Switzerland,M,Japan,0,"Python, TensorFlow, MLOps, PyTorch",PhD,2,Media,9.5,DeepTech Ventures
AI00077,AI Consultant,78936,MI,FL,Germany,S,Germany,0,"Mathematics, Tableau, R, NLP, SQL",Bachelor,4,Consulting,6.9,Cloud AI Solutions
AI00078,AI Consultant,101054,SE,PT,South Korea,L,United Kingdom,0,"PyTorch, Python, TensorFlow",Bachelor,6,Healthcare,8.8,DeepTech Ventures
AI00079,AI Specialist,91807,SE,FT,Austria,S,Austria,50,"Linux, Azure, Scala, Python",Master,9,Education,8.3,TechCorp Inc
AI00080,Machine Learning Engineer,49858,EN,CT,Austria,S,Singapore,100,"PyTorch, Spark, Linux",Bachelor,1,Healthcare,9.2,AI Innovations
AI00081,Robotics Engineer,80596,EN,FT,Austria,L,Switzerland,0,"Kubernetes, Scala, PyTorch, Mathematics",Master,1,Education,6.8,Digital Transformation LLC
AI00082,Head of AI,76026,MI,FT,Sweden,M,Sweden,50,"Tableau, SQL, R, Scala",PhD,4,Healthcare,8.0,Predictive Systems
AI00083,Deep Learning Engineer,84841,MI,CT,Sweden,L,Sweden,0,"Azure, Linux, TensorFlow, GCP",Associate,4,Transportation,5.7,Cognitive Computing
AI00084,Data Scientist,158900,SE,FL,Switzerland,M,Switzerland,50,"Python, Statistics, Mathematics, Docker, TensorFlow",Associate,8,Finance,6.0,Quantum Computing Inc
AI00085,Autonomous Systems Engineer,153858,EX,CT,Germany,S,Germany,50,"MLOps, Azure, Java",Master,13,Gaming,5.1,Cloud AI Solutions
AI00086,Data Scientist,115314,MI,CT,Denmark,M,Finland,0,"Java, Git, R, Azure",Bachelor,3,Real Estate,7.9,Smart Analytics
AI00087,Machine Learning Engineer,181068,EX,FT,Israel,S,Israel,100,"R, Java, Hadoop, Mathematics",PhD,13,Transportation,8.5,Machine Intelligence Group
AI00088,AI Software Engineer,119021,EN,FT,Denmark,L,Portugal,0,"Computer Vision, Docker, Linux, GCP",PhD,1,Transportation,7.3,DataVision Ltd
AI00089,Data Analyst,219746,EX,FL,Israel,M,Czech Republic,100,"R, Python, Scala, TensorFlow",PhD,15,Finance,7.0,Smart Analytics
AI00090,AI Consultant,115774,EX,FL,China,L,China,50,"Hadoop, Scala, NLP, PyTorch, SQL",Associate,10,Real Estate,5.3,DataVision Ltd
AI00091,AI Consultant,130984,EN,PT,Switzerland,L,Philippines,50,"MLOps, Deep Learning, Kubernetes, Azure, GCP",Bachelor,1,Retail,5.3,DataVision Ltd
AI00092,ML Ops Engineer,191223,EX,FT,Switzerland,S,Germany,0,"NLP, Azure, SQL",PhD,18,Healthcare,6.8,Neural Networks Co
AI00093,AI Consultant,155502,SE,FT,Norway,M,Italy,50,"Python, NLP, AWS, Spark",PhD,9,Consulting,7.6,Future Systems
AI00094,AI Specialist,86140,MI,PT,Germany,L,South Korea,50,"Scala, Kubernetes, Deep Learning, AWS",Master,4,Real Estate,7.3,Predictive Systems
AI00095,AI Architect,96028,MI,FL,United Kingdom,L,Australia,0,"Data Visualization, MLOps, GCP, PyTorch",Bachelor,4,Healthcare,6.6,Future Systems
AI00096,Principal Data Scientist,134920,SE,PT,United States,S,United States,0,"SQL, Mathematics, Data Visualization, Kubernetes",Associate,7,Consulting,6.7,Predictive Systems
AI00097,Research Scientist,107694,SE,FL,Ireland,M,Estonia,50,"Spark, Linux, MLOps, R",Associate,5,Retail,5.1,Future Systems
AI00098,Deep Learning Engineer,114301,MI,FT,Finland,L,Finland,0,"Tableau, MLOps, Python",Bachelor,4,Real Estate,7.5,Digital Transformation LLC
AI00099,Machine Learning Researcher,92728,MI,FT,United Kingdom,L,United Kingdom,0,"NLP, Git, Kubernetes, Azure",Bachelor,4,Transportation,9.3,Cognitive Computing
AI00100,NLP Engineer,76826,EN,PT,Singapore,M,Singapore,50,"Git, R, Statistics, PyTorch, Deep Learning",Bachelor,1,Government,7.4,Predictive Systems
AI00101,AI Consultant,48870,SE,PT,India,L,India,0,"Hadoop, Java, Azure, Spark, Statistics",Associate,7,Healthcare,5.6,Cognitive Computing
AI00102,Data Scientist,89527,MI,FT,Australia,L,United States,50,"Linux, Azure, SQL, R, Java",Master,4,Finance,5.8,Predictive Systems
AI00103,Autonomous Systems Engineer,81103,EN,CT,Australia,L,Australia,0,"Mathematics, SQL, Kubernetes",Master,0,Media,7.0,Digital Transformation LLC
AI00104,Machine Learning Engineer,283428,EX,CT,Denmark,L,Denmark,0,"Python, TensorFlow, MLOps, Data Visualization",Associate,13,Healthcare,5.1,Smart Analytics
AI00105,AI Product Manager,104906,MI,FL,United States,S,Portugal,50,"PyTorch, Java, Spark, Statistics",Bachelor,3,Technology,8.0,Cognitive Computing
AI00106,AI Software Engineer,231496,EX,PT,Finland,L,Finland,50,"Tableau, R, Kubernetes",Master,18,Automotive,5.5,DataVision Ltd
AI00107,Robotics Engineer,147402,SE,FT,Japan,L,Japan,100,"Azure, GCP, Scala, R, Python",Bachelor,8,Automotive,7.0,Algorithmic Solutions
AI00108,Data Scientist,69331,EN,FT,Austria,L,Austria,100,"AWS, Git, NLP, Java, Computer Vision",Master,1,Healthcare,8.8,AI Innovations
AI00109,AI Consultant,215842,EX,CT,France,S,France,0,"Deep Learning, TensorFlow, Spark, Python",Bachelor,12,Healthcare,6.7,Machine Intelligence Group
AI00110,Data Scientist,79833,SE,PT,South Korea,S,South Korea,0,"Java, SQL, PyTorch, TensorFlow, AWS",PhD,6,Healthcare,5.7,Predictive Systems
AI00111,Data Scientist,304859,EX,FT,Norway,L,Norway,100,"Linux, SQL, Mathematics",Bachelor,15,Media,6.0,Advanced Robotics
AI00112,Research Scientist,112217,SE,CT,Germany,S,Israel,0,"Spark, Scala, Azure",Associate,8,Technology,10.0,Digital Transformation LLC
AI00113,Head of AI,45738,EN,FL,South Korea,M,South Korea,100,"TensorFlow, Hadoop, Spark",Associate,0,Manufacturing,9.5,DeepTech Ventures
AI00114,Machine Learning Researcher,195309,EX,PT,Germany,S,Germany,50,"SQL, Tableau, PyTorch, NLP",Bachelor,18,Consulting,5.3,DeepTech Ventures
AI00115,Data Scientist,141439,SE,FL,United States,L,United States,50,"Kubernetes, GCP, Git, SQL",PhD,9,Retail,6.3,Digital Transformation LLC
AI00116,AI Consultant,125836,MI,FT,Norway,L,Norway,100,"Statistics, Kubernetes, Spark, GCP",Master,2,Transportation,10.0,Predictive Systems
AI00117,Machine Learning Researcher,58213,EN,FT,Israel,S,Thailand,50,"Azure, Linux, Kubernetes",PhD,0,Telecommunications,5.5,Cloud AI Solutions
AI00118,ML Ops Engineer,82191,MI,CT,Germany,M,Germany,0,"Spark, GCP, Hadoop",Bachelor,2,Media,9.5,Quantum Computing Inc
AI00119,Machine Learning Researcher,207975,EX,CT,Australia,S,Colombia,0,"SQL, Azure, Computer Vision",Master,13,Telecommunications,9.9,Future Systems
AI00120,Computer Vision Engineer,115664,SE,PT,Ireland,M,Ireland,0,"TensorFlow, R, Data Visualization",Bachelor,7,Automotive,7.8,Smart Analytics
AI00121,AI Software Engineer,109337,SE,PT,Ireland,M,Ireland,50,"Data Visualization, PyTorch, Python, Mathematics, Git",Associate,9,Government,8.1,Predictive Systems
AI00122,Data Analyst,115386,SE,PT,Finland,M,Finland,100,"MLOps, Statistics, Hadoop, SQL",Associate,7,Energy,6.7,Smart Analytics
AI00123,Autonomous Systems Engineer,64431,EN,FT,United Kingdom,L,United Kingdom,50,"Git, Deep Learning, Python, Statistics, TensorFlow",Bachelor,1,Automotive,9.0,DeepTech Ventures
AI00124,Data Engineer,108088,SE,FL,United States,S,United States,100,"Tableau, Python, Docker, Azure",Bachelor,9,Consulting,8.0,Smart Analytics
AI00125,ML Ops Engineer,228314,EX,FT,United Kingdom,L,United Kingdom,50,"Java, Hadoop, SQL, Statistics, TensorFlow",Master,16,Telecommunications,6.5,Cognitive Computing
AI00126,Data Scientist,153260,SE,CT,Australia,L,Australia,0,"MLOps, Java, NLP",Master,9,Education,9.7,DataVision Ltd
AI00127,Data Scientist,63667,MI,CT,Israel,S,Norway,100,"R, Data Visualization, SQL, NLP",PhD,4,Energy,7.9,Algorithmic Solutions
AI00128,Research Scientist,31185,MI,FL,China,S,Colombia,100,"AWS, GCP, NLP, SQL, Statistics",Associate,3,Healthcare,9.2,Neural Networks Co
AI00129,Machine Learning Engineer,132167,SE,PT,Germany,M,Germany,50,"MLOps, Docker, Linux, Computer Vision",Bachelor,9,Education,6.2,Quantum Computing Inc
AI00130,AI Research Scientist,223349,EX,FL,Japan,L,Japan,100,"PyTorch, Mathematics, TensorFlow",Bachelor,11,Gaming,5.9,Smart Analytics
AI00131,AI Architect,26957,EN,CT,India,M,India,100,"Azure, Computer Vision, Statistics",Bachelor,1,Transportation,9.5,DataVision Ltd
AI00132,AI Software Engineer,93564,MI,CT,Sweden,S,Sweden,0,"PyTorch, Docker, Data Visualization, Scala, Computer Vision",Associate,2,Transportation,9.7,Advanced Robotics
AI00133,Computer Vision Engineer,113846,SE,PT,France,S,France,100,"SQL, Git, R, Hadoop, Docker",Associate,6,Energy,7.8,DataVision Ltd
AI00134,AI Specialist,147580,EX,FL,France,M,France,0,"Linux, Deep Learning, Hadoop, Kubernetes, Docker",PhD,17,Telecommunications,5.9,Cloud AI Solutions
AI00135,Data Engineer,50514,EN,PT,Canada,M,Philippines,100,"SQL, PyTorch, Tableau, NLP",PhD,1,Automotive,9.0,Cognitive Computing
AI00136,AI Product Manager,94158,MI,FL,Germany,M,Vietnam,100,"PyTorch, R, Scala",Master,2,Education,5.5,Future Systems
AI00137,Principal Data Scientist,161009,EX,FL,Netherlands,M,Netherlands,50,"Kubernetes, AWS, GCP",Associate,19,Transportation,7.1,Cognitive Computing
AI00138,Data Analyst,91911,EX,FT,India,L,India,100,"PyTorch, SQL, Azure, Docker",Associate,15,Technology,5.9,Cloud AI Solutions
AI00139,AI Specialist,248071,EX,FL,Germany,M,Czech Republic,50,"Kubernetes, R, GCP",Bachelor,15,Consulting,7.6,Future Systems
AI00140,Autonomous Systems Engineer,150204,SE,PT,Germany,M,Germany,50,"Docker, Linux, Kubernetes, Data Visualization",Bachelor,9,Transportation,6.3,Neural Networks Co
AI00141,AI Product Manager,181517,SE,CT,Netherlands,L,Netherlands,50,"SQL, Kubernetes, NLP, MLOps",PhD,9,Government,8.9,TechCorp Inc
AI00142,Data Analyst,64573,EN,PT,France,L,France,100,"Kubernetes, GCP, Mathematics, Python",Master,1,Government,9.2,AI Innovations
AI00143,ML Ops Engineer,89332,MI,CT,United States,S,United States,100,"Python, TensorFlow, Deep Learning, Docker, PyTorch",Bachelor,4,Finance,6.0,Predictive Systems
AI00144,Machine Learning Engineer,118239,SE,FL,Sweden,S,Indonesia,50,"AWS, Hadoop, PyTorch, Statistics, Azure",PhD,9,Energy,8.1,Future Systems
AI00145,AI Specialist,103715,MI,FT,Japan,S,Japan,50,"Python, Azure, Statistics",Bachelor,4,Automotive,9.3,Neural Networks Co
AI00146,AI Consultant,151680,EX,FL,Australia,S,Australia,100,"Computer Vision, AWS, Kubernetes",Associate,14,Manufacturing,6.9,Cognitive Computing
AI00147,Data Analyst,142589,SE,FT,Netherlands,L,Netherlands,0,"Docker, Tableau, Kubernetes, Data Visualization, GCP",Master,8,Government,6.0,Predictive Systems
AI00148,Research Scientist,63062,EN,PT,Sweden,L,Sweden,50,"PyTorch, R, Mathematics, Kubernetes",Associate,1,Real Estate,6.7,Smart Analytics
AI00149,Data Engineer,80691,EN,CT,Japan,L,Japan,100,"Deep Learning, Computer Vision, PyTorch, Statistics, Spark",Master,1,Retail,8.1,DataVision Ltd
AI00150,Data Analyst,171580,SE,PT,Japan,L,Kenya,100,"SQL, Spark, MLOps",PhD,7,Manufacturing,6.7,Predictive Systems
AI00151,Autonomous Systems Engineer,58331,SE,PT,China,M,Chile,0,"Hadoop, Java, NLP, Mathematics, Python",Master,5,Transportation,6.1,Cognitive Computing
AI00152,Head of AI,85620,MI,FT,Canada,L,Canada,100,"TensorFlow, GCP, MLOps, NLP",Associate,4,Healthcare,5.8,Quantum Computing Inc
AI00153,AI Consultant,220871,EX,FT,Austria,M,Austria,0,"Linux, Tableau, Spark, Scala",Associate,14,Automotive,5.2,DeepTech Ventures
AI00154,ML Ops Engineer,93007,MI,CT,France,M,France,50,"Docker, SQL, MLOps, GCP, Hadoop",Bachelor,4,Energy,6.4,Cognitive Computing
AI00155,AI Specialist,191783,EX,FT,Singapore,S,Singapore,100,"Java, GCP, PyTorch",PhD,14,Healthcare,5.6,Advanced Robotics
AI00156,Head of AI,83683,MI,FL,Israel,S,Czech Republic,50,"Mathematics, Computer Vision, MLOps, Git, Deep Learning",Bachelor,3,Education,5.3,Smart Analytics
AI00157,Research Scientist,107869,SE,FL,Ireland,S,Ireland,50,"SQL, Linux, GCP",Associate,8,Finance,7.3,Predictive Systems
AI00158,Autonomous Systems Engineer,73528,MI,PT,Sweden,S,Poland,0,"NLP, R, Git, MLOps",Associate,2,Finance,8.0,Algorithmic Solutions
AI00159,NLP Engineer,47642,MI,FL,China,L,Sweden,100,"Python, TensorFlow, NLP",PhD,3,Telecommunications,8.0,DeepTech Ventures
AI00160,AI Software Engineer,179937,SE,PT,Netherlands,L,Netherlands,50,"Python, TensorFlow, NLP, Kubernetes",Associate,6,Real Estate,8.1,Machine Intelligence Group
AI00161,Data Engineer,157066,MI,PT,Switzerland,L,Sweden,0,"GCP, Docker, NLP, Data Visualization",PhD,2,Transportation,9.0,Neural Networks Co
AI00162,Data Scientist,57299,EN,CT,Israel,M,Israel,0,"PyTorch, Spark, TensorFlow",Bachelor,1,Retail,7.8,DataVision Ltd
AI00163,Data Engineer,176844,EX,FL,Canada,L,France,50,"Linux, Scala, Tableau",PhD,10,Telecommunications,5.4,Digital Transformation LLC
AI00164,AI Research Scientist,64892,EN,CT,Canada,M,Canada,50,"Kubernetes, Scala, Azure, Computer Vision",Associate,1,Transportation,5.7,Algorithmic Solutions
AI00165,AI Specialist,63024,EN,CT,Austria,L,Austria,0,"Git, Statistics, Data Visualization",Bachelor,1,Gaming,9.2,Algorithmic Solutions
AI00166,Principal Data Scientist,136695,MI,FL,Switzerland,S,Switzerland,50,"Linux, GCP, Tableau, Java",Bachelor,2,Gaming,5.9,Algorithmic Solutions
AI00167,Data Scientist,69744,EN,PT,South Korea,L,South Korea,50,"Python, Docker, Tableau",Associate,1,Telecommunications,8.4,Autonomous Tech
AI00168,AI Specialist,135137,EX,FL,Austria,M,Austria,0,"Kubernetes, GCP, Data Visualization",PhD,18,Finance,5.4,TechCorp Inc
AI00169,Computer Vision Engineer,143037,EX,FL,Sweden,S,Sweden,0,"Data Visualization, Linux, Azure, Java",PhD,13,Manufacturing,9.5,Autonomous Tech
AI00170,Machine Learning Engineer,113068,SE,FT,United Kingdom,M,United Kingdom,100,"Docker, Scala, Java, Data Visualization, Kubernetes",Master,9,Gaming,6.6,Machine Intelligence Group
AI00171,AI Software Engineer,113917,SE,PT,United Kingdom,S,Russia,0,"SQL, Kubernetes, GCP",Master,9,Government,7.3,Future Systems
AI00172,Head of AI,80311,EX,PT,India,M,India,50,"Git, GCP, Computer Vision, Kubernetes, Docker",Bachelor,13,Finance,5.0,Smart Analytics
AI00173,Autonomous Systems Engineer,160261,SE,CT,Germany,L,Germany,50,"AWS, Linux, Scala, GCP, Python",Associate,6,Education,9.9,Smart Analytics
AI00174,Research Scientist,152241,SE,FL,Switzerland,S,Switzerland,50,"Kubernetes, SQL, Git, PyTorch, Computer Vision",Bachelor,8,Gaming,5.9,AI Innovations
